"metric","observed","boot_median","CI95_low","CI95_high"
"PTC-2 reduction (%)",68.3296719796293,68.2842998628759,65.3196514305133,71.1122132817144
"PTC-2 proportion ratio NO/Control",0.316703280203707,0.317157001371241,0.288877867182855,0.346803485694867
