"condition","M1_mean","M2_mean","M2_over_M1","n","p_M1","p_M2"
"Control",0.0548861783810865,-0.0172510582767088,-0.0721372366577953,1338,0.000791080907547544,5.99907834437217e-11
"NO_treated",0.0112776468531594,0.0364059513715279,0.0251283045183684,1992,0.000791080907547544,5.99907834437217e-11
